province,year,month,Distrito,GrupoAlvo_OutrosAntígenos_2016_2019,GrupoAlvo_BCG_2016_2019,TotalBCG_0_11_meses,Total IPV (0-11 meses),Total PCV 1ª Dose  (0-11 meses),Total PCV 3ª Dose  (0-11 meses),Total Penta 1ª Dose  (0-11 meses),Total Penta 3ª Dose  (0-11 meses),Total Polio 1 (0-11 meses),Total Polio 3 (0-11 meses),Rota1,Rota2,Total Sarampo MR1 (0-11 meses),Cob BCG,Cob IPV,Cob PCV 1,Cob PCV 3,Cob Penta 1,Cob Penta 3,Cob Pólio 1,Cob Pólio 3,Cob Rota 1,Cob Rota 2,Cob MR 1,date,Rota1_lag2,Rota2_lag1,completion_rate,completion_rate_pct_change,vaccine_drop_flag,rota_data_missing,weather_data_missing,cyclone_exposure,cyclone_lag1,cyclone_lag2,cyclone_lag3,cyclone_lag4,tp_lag1,tp_lag2,temperature_avg_lag1,temperature_avg_lag2,rh_lag1,rh_lag2
cabo delgado,2020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,52.120055295499995,45.89803969,27.86396813125,28.04852185,81.67962218,82.49568639
cabo delgado,2020,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,58.342070901,52.120055295499995,27.6794144125,27.86396813125,80.86355796999999,81.67962218
cabo delgado,2020,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,58.342070901,58.342070901,27.6794144125,27.6794144125,80.86355796999999,80.86355796999999
cabo delgado,2020,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,58.342070901,28.110262456555628,27.6794144125,83.3084534541408,80.86355796999999
cabo delgado,2020,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2020,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2020,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2020,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2020,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2020,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,109.86196057,82.011821838125,28.152543816666668,28.110262456555628,86.57588202,83.3084534541408
cabo delgado,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,109.86196057,109.86196057,28.152543816666668,28.152543816666668,86.57588202,86.57588202
cabo delgado,2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,143.5154271,109.86196057,28.135906025000004,28.152543816666668,86.47728307,86.57588202
cabo delgado,2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,172.1394459,143.5154271,27.29021742,28.135906025000004,88.95292514666666,86.47728307
cabo delgado,2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,172.1394459,172.1394459,27.29021742,27.29021742,88.95292514666666,88.95292514666666
cabo delgado,2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,172.1394459,28.110262456555628,27.29021742,83.3084534541408,88.95292514666666
cabo delgado,2021,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2021,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2021,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2021,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2021,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2022,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2022,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2022,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2022,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2022,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2022,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
gaza,2017,1,Bilene,572.0,586.0,374.0,503.0,420.0,503.0,420.0,503.0,420.0,503.0,360.0,478.0,440.0,0.6382252559726962,0.8793706293706294,0.7342657342657343,0.8793706293706294,0.7342657342657343,0.8793706293706294,0.7342657342657343,0.8793706293706294,0.6293706293706294,0.8356643356643356,0.7692307692307693,2017-01-01,,,,,0.0,0.0,0,0,0,0,0,0,140.88577146523497,140.88577146523494,26.79811126202771,26.79811126202771,75.14199196572929,75.14199196572929
gaza,2017,1,Chibuto,724.0,743.0,705.0,756.0,686.0,756.0,686.0,756.0,686.0,756.0,686.0,812.0,746.0,0.94885598923284,1.0441988950276244,0.947513812154696,1.0441988950276244,0.947513812154696,1.0441988950276244,0.947513812154696,1.0441988950276244,0.947513812154696,1.1215469613259668,1.0303867403314917,2017-01-01,,478.0,,,0.0,0.0,0,0,0,0,0,0,583.8702525943518,140.88577146523494,26.738439941406273,26.79811126202771,86.08473510742188,75.14199196572929
gaza,2017,1,Chicualacuala,151.0,155.0,69.0,87.0,83.0,92.0,83.0,92.0,83.0,93.0,86.0,55.0,98.0,0.4451612903225806,0.5761589403973509,0.5496688741721855,0.609271523178808,0.5496688741721855,0.609271523178808,0.5496688741721855,0.6158940397350994,0.5695364238410596,0.3642384105960264,0.6490066225165563,2017-01-01,360.0,812.0,0.1527777777777778,,0.0,0.0,0,0,0,0,0,0,583.8702525943518,583.8702525943518,26.738439941406273,26.738439941406273,86.08473510742188,86.08473510742188
gaza,2017,1,Chigubo,104.0,107.0,72.0,71.0,62.0,71.0,62.0,71.0,62.0,71.0,60.0,69.0,65.0,0.6728971962616822,0.6826923076923077,0.5961538461538461,0.6826923076923077,0.5961538461538461,0.6826923076923077,0.5961538461538461,0.6826923076923077,0.5769230769230769,0.6634615384615384,0.625,2017-01-01,686.0,55.0,0.1005830903790087,-0.3416379538828519,1.0,0.0,0,0,0,0,0,0,583.8702525943518,583.8702525943518,26.738439941406273,26.738439941406273,86.08473510742188,86.08473510742188
