province,year,month,tp,temperature_avg,rh,weather_data_missing
inhambane,2020,11,115.75162457302213,26.96210632324221,75.1587013244629,0
inhambane,2020,12,488.1524427328259,26.56669387817385,84.53005409240723,0
inhambane,2021,1,667.3268377780914,27.883462524414085,88.39058494567871,0
inhambane,2021,2,874.17321652174,27.125779724121116,90.30303764343262,0
inhambane,2021,3,80.26095479726791,26.359433746337913,84.49137687683105,0
inhambane,2021,9,12.617212953045964,23.38434753417971,67.03456370035808,0
inhambane,2021,10,163.37404260411859,24.489186859130882,76.4734992980957,0
inhambane,2021,11,132.47715728357434,26.118457031250024,74.25988082885742,0
inhambane,2021,12,312.77527631027624,27.47016296386721,74.78054523468018,0
inhambane,2022,1,5.44627895578742,27.132501220703148,87.01611328125,0
manica,2017,1,914.5685508847237,23.39054870605471,83.4795135498047,0
